| B-011 | 3p 하단 산출물 칩 3개는 유지(라벨만 제거) | 콘텐츠 구성·순서 | 슬라이드특정 | 3p | 1 | A2:A2-039<파일:257> | — | — |
| B-050 | 13p "대화 끝나면 지시도 사라짐" 프롬프트를 codex에 붙여넣기 예시로, 아래 글 삭제 및 "다음 작업에서~" 멘트 삭제 | 실습·프롬프트 | 슬라이드특정 | 13p | 1 | A1:B-002<B:2> | — | — |
| B-052 | 13p ⑤ 수업범위안(로그인·외부API없이) 삭제 | 콘텐츠 구성·순서 | 슬라이드특정 | 13p | 1 | A2:A2-074<파일:393>; A4:A4-037<F2:21>; A4:A4-047<F2:43> | — | — |
| B-089 | 18p 1~5 박스별 여백 확대(촘촘함 해소) | 레이아웃·배치 | 슬라이드특정 | 18p `C1-7` | 2 | A3:A3-033<F:152>; A1:A1-013<A:1> | — | — |
| B-168 | 35p 4단계 내용 구체화 | 콘텐츠 구성·순서 | 슬라이드특정 | 35p | 1 | A2:A2-129<파일:608> | — | — |
| B-206 | 40p 박스 가로길이 축소 | 레이아웃·배치 | 슬라이드특정 | 40p | 1 | A2:A2-152<파일:685> | — | — |
| B-237 | 44p 좌우 CSS도형 여백 확대(답답함 해소) | 레이아웃·배치 | 슬라이드특정 | 44p | 1 | A2:A2-162<파일:721> | — | — |
| B-293 | 53p "에이전트 시스템" 민트 배경 pill 제거→글자 민트색+확대 | 색·강조 | 슬라이드특정 | 53p `C4-2` | 2 | A3:A3-122<F:588>; A3:A3-123<F:589>; A1:A1-078<A:1> | — | — |
| B-303 | 54p "실제로 있었던 일" 박스 사례내용 구체적으로 추가 | 콘텐츠 정확성 | 슬라이드특정 | 54p(C4-9) | 1 | A2:A2-187<파일:820> | — | — |
| B-307 | 55p 우측 메모장/체크리스트 SVG 렌더 깨짐 수정 | 이미지·시각자료 | 슬라이드특정 | 55p `C4-3` | 1 | A3:A3-132<F:609> | — | — |
| B-318 | 56p 레이아웃 깨짐 확인, 화면밖 넘침여부 확인 후 전면 재구성 | 레이아웃·배치 | 슬라이드특정 | 56p(C4-10) | 1 | A2:A2-189<파일:839> | — | — |
