원본ID,원본파일,원본번호,제목,핵심메시지,교육적역할,시각유형,새처리상태,새차시,새part,새순서,변경유형,변경내용,보존유보,예상분,판정근거
VC-W2-S01,shell.html,1,내 아이디어를 작동하는 작은 웹 으로,2주차 표지 — 주차 번호·부제·WEEK 2/3 배지,표지,표지,수정,2차시,PART0,1,M1,"헤더 s-team 「WEEK 2 / 3」→「2차시 / 3차시」 · 「WEEK 2 / 3」→「2차시 / 3차시」 · 「2주차 · 기획하고, 만들고, 확인하기」→「2차시 · Coding Agent에게 일을 맡기는 법」 · 제목「내 아이디어를 작동하는 작은 웹 으로」→「AI에게 질문에서, Agent에게 일 맡기기로」 · 「3주 아카데미」→「3차시 과정」(브랜드 옆 track 라벨 · CSV 미기재분 반영 · 과정명·회차 표기 정정)",cover 레이아웃 · 로고 SVG · 브랜드 VIBECODING 문자열,0.75,표지는 차시마다 문구만 갈린다 — 구조 전량 보존 대상
VC-W2-S02,shell.html,2,AI가 작성하고 사람이 검토하고 사람이 결정합니다,AI 초안 → 사람 검토 → 사람 결정의 3역할 분담,도입,이미지+텍스트,본편,2차시,PART0,2,없음,헤더 s-team 없음(divider·표지류 원본 구조 유지 · 라벨 주입 안 함) · 변경 없음 — 새 과정 핵심 메시지와 문장이 일치,문장 3개 전문 · 이미지 s02_ai-writes-human-decides,0.75,"커리큘럼 핵심 메시지 「AI가 작성하고, 사람이 검토하고, 사람이 결정한다」와 동일 문장 — 바꿀 이유 없음"
VC-W2-S02B,shell.html,3,오늘 하루로 첫 MVP 까지 갑니다,2주차 6교시 전체 흐름 개요,도입,과정도(6단계),수정,2차시,PART0,3,M4,헤더 s-team 「2주차<br>개요」→「2차시<br>개요」 · 6칸 구조(wk-track 3+3)는 그대로 두고 8 PART을 6블록으로 묶는다 — 1 되짚기·역할 지도 / 2 Prompt / 3 Context와 Memory / 4 Markdown 기준 / 5 Harness·기준 적용 / 6 뉴스 Agent·검토·정리(PART 6·7·8) · 8칸으로 늘리면 3+3 grid가 넘친다 — 결정요청 D-12 · 「지난주 요청하고 확인하고 고쳤다면」→「1차시에 요청하고 확인하고 고쳤다면」 · 제목「오늘 하루로 첫 MVP 까지 갑니다」→「오늘 뉴스 조사 Agent 까지 갑니다」 · aria-label 3종 — 「1~3교시 흐름」→「PART 1~3 흐름」(shell.html:2019) · 「4~6교시 흐름」→「PART 4~8 흐름」(2036) · figure의 aria-label과 alt 「여섯 교시가 차례로 이어져 하나의 첫 MVP로 수렴하는 흐름」→「여덟 PART가 차례로 이어져 하나의 뉴스 조사 Agent로 수렴하는 흐름」(2058 · 2곳) · s-eyebrow 「2주차 전체 흐름」→「2차시 전체 흐름」 · 이미지 s03_six-sessions-to-mvp-…png는 «6교시 → 첫 MVP» 도해라 새 개요와 어긋난다 — 빼면 has-img-r과 wk-track 68% 스코프 CSS도 함께 되돌린다(결정요청 D-04 하위 항목),w2-week 구도 · 단계 카드 구조,0.75,주차 개요 슬롯을 유지하고 안의 상호참조만 새 구조로 — M4 상호참조
VC-W2-S03,shell.html,4,오늘 배우게 될 것,6교시 아젠다,도입,목록(6항),수정,2차시,PART0,4,M4,헤더 s-team 없음(divider·표지류 원본 구조 유지 · 라벨 주입 안 함) · 6교시 아젠다 → 8 PART 아젠다(회고·역할 지도 / Prompt / Context / Markdown / Harness·기준 적용 / 뉴스 Agent / 검토·출처 / 정리),s03-slide 구도 · 번호 목록 구조,0.75,아젠다 슬롯 유지 · 항목만 새 PART로 — M4 상호참조
VC-W2-P1,part-01.html,5,사용자와 문제 정의,PART 1 구획,구획,divider,수정,2차시,PART1,5,M4,"헤더 s-team 없음(divider·표지류 원본 구조 유지 · 라벨 주입 안 함) · 제목「사용자와 문제 정의」→「되짚기와 역할 지도」 · 부제「누구의 어떤 불편인지 좁혀 한 줄 정의로 만든다」→「1차시에서 무엇을 했고, 오늘 누가 무엇을 맡는가」",part-divider 구조 · 번호 배지,1.75,divider 6종은 구조 그대로 문구만 갈아 새 PART에 재사용한다 — 최대 보존 경로
VC-W2-M1,part-01.html,6,1교시 이렇게 배웁니다,1교시 5단계 로드맵과 단계별 산출물,도입,과정도(5단계),수정,2차시,PART1,6,M4,"헤더 s-team 「2주차<br>N교시」→「2차시<br>PART 1」 · 「2주차 1교시」→「2차시」 · 5단계를 앞 50분 로드맵으로 교체(되짚기 → Prompt → Context → Markdown 기준 → 뒤 50분 예고) · 산출물 라벨 형식 유지 · M2·M3(2·3교시 로드맵) 흡수 · R-BUILD2-02 정정(중대 해소): 리드가 1차시·C1-1과 모순 — 「앞 50분에 이번 차시에서 더 깊이 다루는 것은 Prompt·Context·Markdown 기준입니다」→「Prompt는 더 깊이, Context · Markdown 기준은 새로 배웁니다.」로 정정(「앞 50분」은 제목·5단계가 이미 말해 리드에서 뺌 · 뒤 문장 불변) · 노트 🗣 항목 끝에 「리드의 구분도 짚습니다 — Prompt는 1차시에서 만난 것을 더 깊이, Context · Markdown 기준은 오늘 새로 배웁니다.」 추가 · 2026-09-11 사용자 결정(계획 §2-4): 5단계 산출물 «NEWS_AGENT.md 준비» 삭제(N-08이 PART 6으로 이동) — 뒤 50분 예고 문구만 남긴다",w2-roadmap 구도 · rm-step/rm-out 산출물 라벨 구조,1.75,"교시 로드맵 구도를 블록 로드맵으로 전용 — 구조·CSS 불변, 문구만 M4"
VC-W2-C1-N1,part-01.html,7,기획 전체 흐름,타깃→페인포인트→MVP→유저플로우→화면 기획 5단계,개념,과정도(5단계),제외,없음,없음,없음,없음,기획(타깃·페인포인트·MVP·유저플로우) 주제 자체가 새 커리큘럼 1·2·3차시 어디에도 없음,없음,0,커리큘럼_기준안 3개 차시 개념 목록 전수 대조 결과 대응 항목 0 · w2-roadmap 구도는 M1이 이미 재사용
VC-W2-C1-1,part-01.html,8,지난주에서 이번 주로,지난주 요청→확인→수정 고리에 «결정»과 «파일로 남기기»가 붙는다,비교,비교2단+이미지,수정,2차시,PART1,7,M4,헤더 s-team 「2주차<br>N교시」→「2차시<br>PART 1」 · 「지난주」→「1차시」 · 「이번 주」→「2차시」 · 오른쪽 「기획·디자인 결정 → 요청 → 확인 → 수정」→「기준 결정 → 요청 → 확인 → 수정」 · 「누구의 어떤 불편 인지 먼저 정합니다」→「무엇을·어디까지·무엇이 되면 끝인지 먼저 정합니다」 · aria-label과 alt 4곳(2쌍 · part-01.html:379·382) — 「지난주의 반복 작업이 목적지 없이 원을 그리며 되돌아오는 흐름」→「1차시의 반복 작업이 목적지 없이 원을 그리며 되돌아오는 흐름」 · 「이번 주의 작업이 결정 지점을 향해 열린 경로로 나아가는 흐름」→「2차시의 작업이 결정 지점을 향해 열린 경로로 나아가는 흐름」(같은 문자열이 aria-label과 alt에 각각 있어 4곳 전부) · 해시태그 정정(R-BUILD2 치명 1 · 보존 예외): 전(1차시 쪽 #프롬프트 엔지니어링·#컨텍스트 엔지니어링 / 2차시 새 쪽 #하네스 엔지니어링·#멀티에이전트·스킬)이 차시 경계를 오표기 — 후(1차시 쪽 #프롬프트 엔지니어링·#Coding Agent 첫 실행 / 2차시 새 쪽 #컨텍스트 엔지니어링·#하네스 엔지니어링)로 정정,태그 4개·2그룹 구조 유지 · compare-slide 구조 · 이미지 2장,1.75,이미 새 2차시 3개 개념(프롬프트·컨텍스트·하네스)을 해시태그로 예고하고 있다 — 회고 5분 슬롯의 정본
VC-W2-C1-2,part-01.html,9,누구의 어떤 불편인가,타깃과 페인포인트를 붙여 한 줄로,개념,2열 카드+이미지,제외,없음,없음,없음,없음,기획 주제 — 새 커리큘럼 대응 없음,없음,0,타깃·페인포인트는 3개 차시 개념 목록에 없음
VC-W2-C1-N2,part-01.html,10,타깃을 좁힐수록 또렷해집니다,넓은 타깃은 아무 기능도 정하지 못하게 만든다,비교,비교2단,제외,없음,없음,없음,없음,기획 주제 — 대응 없음 · compare-slide 구도는 신규 N-04(막연한 요청 vs 구조화된 요청)가 승계,없음,0,«좁힐수록 또렷해진다» 논리는 Prompt의 범위로 이어지나 예시가 전부 기획 문구라 문구 전면 교체가 필요 — 브리프 허용 수정 6종 밖이므로 제외하고 구도만 M6가 승계
