| B-014 | 3p 제목 "여섯 교시가 첫 MVP로 이어집니다" 유지 | 콘텐츠 구성·순서 | 슬라이드특정 | 3p(S02B) | 1 | A2:A2-035<파일:252> | — | — |
| B-036 | 11p 안내문구 추가("GPT한테 물어보세요…") | 콘텐츠 구성·순서 | 슬라이드특정 | 11p | 1 | A2:A2-065<파일:366> | — | — |
| B-037 | 11p "완성"만 유지, "막히면" 삭제(3차 확정, 1차 결정 철회) | 콘텐츠 구성·순서 | 슬라이드특정 | 11p | 1 | A2:A2-066<파일:367> | — | — |
| B-041 | 신설 "프롬프트 vs 컨텍스트 엔지니어링 대비" 슬라이드 — 11p 근처 | 콘텐츠 구성·순서 | 슬라이드특정 | 신설(11p 근처) | 1 | A2:A2-304<파일:1276-1283>; A2:A2-305<파일:1287>; A2:A2-306<파일:1288> | — | — |
| B-051 | 13p 메시지 "우리가 건 조건, 나머지는 자율" 반영 | 콘텐츠 정확성 | 슬라이드특정 | 13p | 1 | A2:A2-073<파일:392> | — | — |
| B-053 | 13p ①②③④⑥ 항목 유지 | 콘텐츠 구성·순서 | 슬라이드특정 | 13p | 1 | A2:A2-075<파일:394> | — | — |
| B-058 | 13p 전면개편, 제목을 "우리 수업이 건 조건"으로(정확문구는 조립단계) | 타이포·텍스트 | 슬라이드특정 | 13p(C1-7) | 1 | A2:A2-072<파일:391> | — | — |
| B-062 | 14p 좌측 박스 핵심 키워드 강조 추가 | 색·강조 | 슬라이드특정 | 14p `A1F1` | 2 | A3:A3-022<F:279>; A3:A3-023<F:280>; A1:A1-005<A:1> | — | — |
| B-071 | 예시가 구체화 부족, 실제 프롬프트 예시로 의도 명확화 필요 | 콘텐츠 구성·순서 | 슬라이드특정 | 17p | 1 | A1:A1-010<A:1> | — | — |
| B-073 | 17p 실제캡처 추가(Codex 새 폴더 생성 화면, 엔터 실행 전까지) | 이미지·시각자료 | 슬라이드특정 | 17p | 1 | A2:A2-083<파일:429-430>; A2:A2-345<파일:1547> | — | — |
| B-084 | 18p GPT와 에이전트(Codex) 차이 더 서술 | 콘텐츠 정확성 | 슬라이드특정 | 18p | 1 | A2:A2-089<파일:452> | — | — |
| B-086 | 18p 기존 이미지 슬롯 그대로 활용 | 이미지·시각자료 | 슬라이드특정 | 18p | 1 | A2:A2-091<파일:457> | — | — |
| B-087 | 18p 우측 이미지를 더 우측으로 이동(안전영역 준수) | 이미지·시각자료 | 슬라이드특정 | 18p `C1-7` | 2 | A3:A3-034<F:312>; A1:A1-011<A:1> | — | — |
| B-090 | 18p 제목 직설화("삶 속의 불편을 해결한다" 방향) | 타이포·텍스트 | 슬라이드특정 | 18p `C1-7` | 2 | A3:A3-031<F:309>; A1:A1-014<A:1> | — | — |
| B-096 | 20p 실습② 터미널 블록 삽입(§0-9) | 실습·프롬프트 | 슬라이드특정 | 20p `C1-11` | 1 | A3:A3-038<F:327> | — | — |
| B-110 | 23p·24p 함께 MVP 정의 강화, 신설 2장과 연계 | 콘텐츠 정확성 | 슬라이드특정 | 23p,24p(C2-2) | 1 | A2:A2-101<파일:510-514> | — | — |
| B-122 | 27p 박스 높이·밀도 정리, 남는 여백에 이미지(IMG-12) | 레이아웃·배치 | 슬라이드특정 | 27p | 1 | A2:A2-106<파일:533> | — | — |
| B-126 | 28p 실습단계 1·2에 자세한 설명 추가 | 콘텐츠 구성·순서 | 슬라이드특정 | 28p | 1 | A2:A2-110<파일:544> | — | — |
| B-132 | 29p "먼저 보여줄 결과 하나" 워딩에 실제 결과물(오늘 한 줄 기록 추가)이 드러나게 구체화, 기능 하나만 표시 | 콘텐츠 구성·순서 | 슬라이드특정 | 29p | 1 | A1:A1-029<A:1> | — | — |
| B-156 | 32p 스텝 제목 명사형화(§0-3) | 타이포·텍스트 | 슬라이드특정 | 32p `C2-6` | 1 | A3:A3-062<F:408> | — | — |
| B-158 | IMG-14 33p 이미지 — 실습④ 흐름작성 장면, 28p와 동일처리 | 이미지·시각자료 | 슬라이드특정 | 33p | 1 | A2:A2-339<파일:1493> | — | — |
| B-159 | 33p §0-4 기준으로 박스/줄글 재판정, 레이아웃 재설계 | 레이아웃·배치 | 슬라이드특정 | 33p `C2-7` | 2 | A3:A3-065<F:416>; A1:A1-038<A:1> | — | — |
| B-190 | 38p 레이아웃 좌측이동, 우측이미지(6:4 또는 7:3, IMG-15) | 레이아웃·배치 | 슬라이드특정 | 38p | 1 | A2:A2-142<파일:652> | — | — |
| B-193 | 39p(C3-4) PART4로 이동(6차 결정), AGENTS.md·Skill 구간 전체를 4교시로 통합 | 콘텐츠 구성·순서 | 슬라이드특정 | 39p | 1 | A2:A2-143<파일:660> | — | — |
| B-199 | 39p 4교시 하네스로 이어지는 빌드업 배치 | 콘텐츠 구성·순서 | 슬라이드특정 | 39p | 1 | A2:A2-149<파일:673> | — | — |
| B-202 | 39p 3교시 처음 만나는 개념(마크다운·prd.md·AGENTS.md·파일나누기) 안내 보강 | 콘텐츠 구성·순서 | 슬라이드특정 | 39p `M3` | 1 | A3:A3-083<F:466> | — | — |
| B-220 | [약속] 가독성 하한(본문22px·표17px·코드20px) 준수 — 41p 표 재구성·C5-20 8색 카드에서 특히 실측 필요 | 타이포·텍스트 | 슬라이드특정 | 41p·C5-20 | 0 | A4:A4-081<F2:210> | A4:A4-081<F2:210> | — |
| B-221 | 67p+68p 통합본을 41p 직후로 이동(확정) | 콘텐츠 구성·순서 | 슬라이드특정 | 67p+68p→41p뒤 | 1 | A3:A3-163<F:712> | — | — |
| B-223 | PRD/PRD.md 설명에 키워드 위주 표현 추가 | 타이포·텍스트 | 슬라이드특정 | 42p | 1 | A1:A1-054<A:1> | — | — |
| B-224 | "AI는 코드를 만들기 전에 이 문서를 먼저 읽습니다" 관련 agent.md→PRD.md 읽기 순서 설명 — 사용자가 취소(보류) | 콘텐츠 정확성 | 슬라이드특정 | 42p | 0 | A1:A1-055<A:1> | — | — |
| B-242 | 44p §0-1 대표 위반 문장 해소("에이전트가 prd.md를 읽고—대상·핵심..." 구조) | 타이포·텍스트 | 슬라이드특정 | 44p `C3-N2` | 1 | A3:A3-100<F:518> | — | — |
| B-248 | 45p 대체내용 — 하네스교육자료 근거로 "모델+하네스+작업환경" 골격 서술, 유보표현 안씀 | 콘텐츠 정확성 | 슬라이드특정 | 45p | 1 | A2:A2-169<파일:738-739> | — | — |
| B-250 | 45p 좌측 박스 나열을 kit/charts 차트로 재구성 | 이미지·시각자료 | 슬라이드특정 | 45p `C3-3` | 2 | A3:A3-102<F:526>; A1:A1-063<A:1> | — | — |
| B-251 | 45p 하단 문구 확정 교체 — "다섯 항목을 먼저 채우고, 바뀌면 그때 고칩니다" | 콘텐츠 정확성 | 슬라이드특정 | 45p `C3-3` | 2 | A3:A3-103<F:527>; A3:A3-104<F:528>; A1:A1-064<A:1> | — | — |
| B-252 | 45p '하네스란 무엇인가'로 전환 | 콘텐츠 정확성 | 슬라이드특정 | 45p(C4-2) | 1 | A2:A2-165<파일:731> | — | — |
| B-260 | 47p 실습⑤ 터미널 블록 삽입(§0-9) | 실습·프롬프트 | 슬라이드특정 | 47p `C3-5` | 1 | A3:A3-109<F:543> | — | — |
| B-274 | 49p 실습⑥ 터미널 블록 삽입(§0-9) | 실습·프롬프트 | 슬라이드특정 | 49p `C3-6` | 1 | A3:A3-115<F:564> | — | — |
| B-285 | 51p 2번 문구 "모델이 하는 일에 제약을 건다" 방향 수정(§0-1) | 타이포·텍스트 | 슬라이드특정 | 51p `M4` | 1 | A3:A3-119<F:573> | — | — |
| B-295 | 53p 하네스 출처 문구 — 삭제 대신 짧게 바꿔 유지(1차 결정 수정) | 콘텐츠 정확성 | 슬라이드특정 | 53p `C4-2` | 1 | A3:A3-013<F:241> | — | — |
| B-300 | 54p 하네스/컨텍스트/프롬프트 설명 글씨 폰트·볼드 다운 | 타이포·텍스트 | 슬라이드특정 | 54p `C4-12` | 2 | A3:A3-127<F:599>; A1:A1-082<A:1> | — | — |
| B-302 | 54p "저장/기억/확인" 3칸 §0-1 구조 전부 해소(재지목) | 타이포·텍스트 | 슬라이드특정 | 54p `C4-12` | 1 | A3:A3-128<F:600> | — | — |
| B-312 | 56p 좌측 프롬프트 박스 높이 확대(여백), "바깥층" 용어 변경 | 타이포·텍스트 | 슬라이드특정 | 56p | 1 | A1:A1-133<A:7> | — | — |
| B-363 | 62p 도입설명("같은 내용, 같은 기능입니다…") 슬라이드 앞에 추가 | 콘텐츠 구성·순서 | 슬라이드특정 | 62p(C5-2) | 1 | A2:A2-206<파일:894> | — | — |
| B-374 | 64p 강조문구("색은 쓰되…") 디자인 변경, 문장 유지 | 색·강조 | 슬라이드특정 | 64p | 1 | A2:A2-218<파일:920> | — | — |
| B-379 | 65p 제목·리드에 3단 구조(직설제목→정의→비유) 적용 | 콘텐츠 구성·순서 | 슬라이드특정 | 65p | 1 | A2:A2-220<파일:929> | — | — |
| B-381 | 66p 하단 화살표 4개 삭제 | 이미지·시각자료 | 슬라이드특정 | 66p | 1 | A1:A1-136<A:7> | — | — |
| B-382 | 66p 프롬프트에 반응형 관련 멘트 한 줄 추가 | 실습·프롬프트 | 슬라이드특정 | 66p | 1 | A1:B-015<B:42>; A4:A4-060<F2:71> | — | — |
| B-391 | 66p 제목·리드 3단 구조 적용 | 콘텐츠 구성·순서 | 슬라이드특정 | 66p(C5-6) | 1 | A2:A2-221<파일:936-937> | — | — |
| B-400 | IMG-17 67p 이미지(선택) — 레퍼런스 통째복사 vs 관찰 차이, 자리 남을때만 | 이미지·시각자료 | 슬라이드특정 | 67p | 1 | A2:A2-342<파일:1496> | — | — |
| B-408 | 68p "예쁘다로 끝내기" 블록 삭제 | 콘텐츠 구성·순서 | 슬라이드특정 | 68p(C5-8) | 1 | A2:A2-233<파일:969> | — | — |
| B-422 | 71p "10 프로젝트 고도화" 1·2·3 삭제, "PRD.md·design.md를 사용하여 프로젝트 고도화"로 대체 | 콘텐츠 구성·순서 | 슬라이드특정 | 71p | 1 | A1:B-017<B:44>; A4:A4-036<F2:20>; A4:A4-062<F2:73> | — | — |
| B-431 | 72p 새 장 추가해 컨텍스트+프롬프트 엔지니어링 활용 고퀄리티 프롬프트 작성 | 실습·프롬프트 | 슬라이드특정 | 72p 뒤 신설 | 1 | A1:A1-139<A:7> | — | — |
| B-433 | 73p 본문 좌우목록 대폭 축소(캡처가 주인공) | 콘텐츠 구성·순서 | 슬라이드특정 | 73p | 1 | A2:A2-244<파일:1016> | — | — |
| B-437 | 73p 주소창 실제캡처 대비로 존치(file:/// vs localhost, IMG-18) | 이미지·시각자료 | 슬라이드특정 | 73p(C5-13) | 1 | A2:A2-242<파일:1010-1014> | — | — |
| B-446 | 75p 우측 3단계 텍스트를 이미지로 대체(IMG-19) | 이미지·시각자료 | 슬라이드특정 | 75p | 1 | A2:A2-250<파일:1039> | — | — |
| B-493 | 102p ChatGPT로 기획 질문·비판받고 Codex 프롬프트 만드는 흐름 추가 | 실습·프롬프트 | 슬라이드특정 | 102p | 1 | A2:A2-281<파일:1181> | — | — |
| B-497 | 103p 형태 — 좌측 세로정렬 텍스트/우측 큰 그림(IMG-20) | 레이아웃·배치 | 슬라이드특정 | 103p | 1 | A2:A2-285<파일:1190> | — | — |
| B-503 | 115p(A5F2) PART4 AGENTS.md 신설3장 바로 뒤로 이동 | 콘텐츠 구성·순서 | 슬라이드특정 | 115p | 1 | A2:A2-290<파일:1209> | — | — |
| B-505 | 115p 실습공통포맷 적용 | 콘텐츠 구성·순서 | 슬라이드특정 | 115p | 1 | A2:A2-292<파일:1211> | — | — |
| B-525 | [약속] 4교시 — IA 정의(4-1), IA vs User Flow 비교(4-2) 신설 | 콘텐츠 정확성 | 파트·구간 | 4교시 | 0 | A4:A4-024<F1:199-200> | A4:A4-024<F1:199-200> | — |
| B-533 | [약속] 5교시 — 다중 파일 심화(5-2)·상대경로 파일명(5-3)·브라우저vs서버(5-4)를 3교시에서 이동, 리팩터링(5-10) 신설 | 콘텐츠 구성·순서 | 파트·구간 | 5교시 | 0 | A4:A4-026<F1:224-232> | A4:A4-026<F1:224-232> | — |
| B-537 | [약속] 6교시 — 문서-구현 동기화(6-7), Memory/저장 경계(6-8) 신설, 마무리와 THANK YOU 슬라이드 분리(6-10·6-11) | 콘텐츠 구성·순서 | 파트·구간 | 6교시 | 0 | A4:A4-027<F1:326> | A4:A4-027<F1:326> | — |
| B-543 | 8-A 중앙에 큰 이미지 하나(IMG-05) | 이미지·시각자료 | 슬라이드특정 | 8-A | 1 | A2:A2-053<파일:313>; A2:A2-332<파일:1484> | — | — |
| B-546 | [지적] 사용자 결정 필요: C3-N4(AGENTS.md란 무엇인가) 이관 여부 — 기본안은 PART3 유지 | 콘텐츠 구성·순서 | 슬라이드특정 | C3-N4 | 0 | A5:A5-012<스왑계획.md:178> | — | — |
| B-549 | 교시 로드맵 M1~M5 템플릿 통일(최우선, 2회 미이행) | 콘텐츠 구성·순서 | 파트·구간 | M1~M5 | 2 | A3:A3-012<F:213>; A2:A2-004<파일:64> | — | — |
| B-553 | M1~M6 삭제 결정 철회, 유지로 확정 | 콘텐츠 구성·순서 | 파트·구간 | M1~M6 | 1 | A2:A2-006<파일:55> | — | — |
| B-561 | [약속] divider ID(P4/P5)는 단조성 검사 통과 위해 교환(계획 수정, 본문 슬라이드 ID는 불변 유지) | 콘텐츠 정확성 | 파트·구간 | P4/P5 divider | 0 | A5:A5-020<스왑계획.md:231> | A5:A5-020<스왑계획.md:231> | — |
| B-563 | [약속] 5구간 실습을 90분 단일 블록으로 확정, 강사 3분 끼어들기·정렬지점 삽입 | 실습·프롬프트 | 파트·구간 | PART5 실습 | 0 | A5:A5-048<최종결정본.html:1052-1053> | A5:A5-048<최종결정본.html:1052-1053> | — |
| B-564 | PART6 재구성 — 간지1+정리3~4장+실습안내1장, 기존본편10장·M6 전부삭제 | 콘텐츠 구성·순서 | 파트·구간 | PART6 | 1 | A2:A2-323<파일:1378-1380> | — | — |
| B-583 | 신설 MVP설명 슬라이드 2장 — PART2 안(23p~24p 부근) 배치 | 콘텐츠 구성·순서 | 파트·구간 | 신설(PART2) | 1 | A2:A2-307<파일:1292-1300> | — | — |
| B-591 | 신설 AGENTS.md 2장+Skills 1장 — PART4로 위치 확정(6차) | 콘텐츠 구성·순서 | 파트·구간 | 신설(PART4) | 1 | A2:A2-315<파일:1349-1351> | — | — |
| B-597 | 신설3장 공식 인용(안드레이 카파시 등) 사용, 출처는 화면 미표시 | 콘텐츠 정확성 | 슬라이드특정 | 신설(PART4) | 1 | A2:A2-321<파일:1365> | — | — |
| B-598 | 신설3장 4교시 하네스로 이어지는 빌드업 | 콘텐츠 구성·순서 | 슬라이드특정 | 신설(PART4) | 1 | A2:A2-322<파일:1366> | — | — |
| B-600 | 95·97~101·105~114·116~118·120~121p 21장 전부 삭제, 예비구획 폐지 | 콘텐츠 구성·순서 | 파트·구간 | 예비·확장 21장 | 1 | A2:A2-298<파일:1135> | — | — |
| B-606 | 반복적인 "~합니다" 종결 표현을 덱 전역에서 다른 표현으로 변경 | 타이포·텍스트 | 덱전역 | 46p(전역) | 1 | A1:A1-066<A:1> | — | — |
| B-614 | [약속] `C5-19`·`C5-20`은 R-COLOR-01(raw hex 금지)의 명시적 예외 구간으로 등재, 다른 슬라이드로 번지지 않게 스코프 제한 | 색·강조 | 규칙·프로세스 | C5-19·C5-20 | 0 | A4:A4-079<F2:200> | A4:A4-079<F2:200> | — |
| B-619 | [약속] 4구간 신설("AI에게 큰 작업을 맡기는 시스템", 개념 20개+하네스 실습) | 콘텐츠 구성·순서 | 덱전역 | PART4 | 0 | A5:A5-045<최종결정본.html:1047> | A5:A5-045<최종결정본.html:1047> | — |
| B-622 | [약속] shell.html S02B 노드4↔5 내용 교환, S03 목차 항목4↔5 교환, 항목6 기존 결함("1~4교시") 수정 | 콘텐츠 정확성 | 덱전역 | S02B/S03 | 0 | A5:A5-008<스왑계획.md:116-118> | A5:A5-008<스왑계획.md:116-118> | — |
| B-626 | '문장—부연' em dash 이어붙이기 구조 전역 금지 | 타이포·텍스트 | 덱전역 | §0-1 | 1 | A3:A3-001<F:72> | — | — |
| B-639 | 덱 최종 장수 98(§3-4)로 `deck.contract.json`·4p 목차 갱신 필요 | 프로세스·보고 | 덱전역 | 덱전역 | 1 | A3:A3-195<F:884> | — | — |
| B-644 | 하드게이트: 색은 토큰만, raw hex·그라데이션·민트/코랄 위 흰글자 금지 | 색·강조 | 덱전역 | 덱전역 | 1 | A3:A3-201<F:989> | — | — |
| B-646 | [약속] 발표자 노트 강화 — 개념 슬라이드마다 오개념·과장금지경계·공식근거·폴백 등 12항목 계획 반영 | 발표자노트 | 덱전역 | 발표자노트 | 0 | A4:A4-030<F1:373-388> | A4:A4-030<F1:373-388> | — |
| B-656 | 전 실습장 "완성" 블록 유지, 판정 기준 명확화 | 콘텐츠 구성·순서 | 덱전역 | 실습 슬라이드 전체 | 1 | A2:A2-024<파일:175> | — | — |
| B-666 | 슬라이드 제목은 정식 용어로, 서술형으로 바꾸지 않음 | 타이포·텍스트 | 규칙·프로세스 | 전체 | 1 | A2:A2-013<파일:112> | — | — |
| B-668 | 대제목은 직설적으로, 비유·수사로 짓지 않음 | 타이포·텍스트 | 덱전역 | 전체 | 1 | A2:A2-015<파일:126> | — | — |
| B-675 | [약속] 슬라이드 예산 권장안 ~80±6장으로 재설계(증가분 10개 유형 근거 명시) | 콘텐츠 구성·순서 | 덱전역 | 전체 장수 | 0 | A5:A5-035<재설계안.md:155-170> | A5:A5-035<재설계안.md:155-170> | — |
