order_id,order_date,order_status,customer_id,customer_type,age_group,region,category,product_name,brand,quantity,unit_price_krw,cost_per_unit_krw,discount_rate,shipping_fee_krw,payment_method,delivery_days,rating,returned,return_reason
ORD00001,2025-05-12,Completed,C0447,Returning,55+,Incheon,Electronics,Smart Watch,Pulse,3,99000,47000,0,0,Mobile Pay,4,5,No,
ORD00002,2025-12-13,Completed,C0125,Returning,55+,Incheon,Food,Protein Bar Pack,FitBite,2,28000,12000,0.05,3000,Card,5,5,No,
ORD00003,2025-08-27,Completed,C0832,VIP,35-44,Daejeon,Home,Cotton Towel Set,SoftDay,3,24000,10000,0.15,3000,Mobile Pay,1,5,No,
ORD00004,2025-09-29,Completed,C0599,New,45-54,Jeju,Fashion,Canvas Sneakers,Walkon,4,59000,26000,0.25,3000,Virtual Account,4,5,No,
ORD00005,2025-01-22,Completed,C0121,New,18-24,Gangwon,Food,Coffee Bean 1kg,BeanRoot,3,32000,15000,0,0,Card,2,5,No,
ORD00006,2025-03-01,Completed,C0028,VIP,18-24,Daejeon,Food,Protein Bar Pack,FitBite,3,28000,12000,0.2,3000,Bank Transfer,4,5,No,
ORD00007,2025-03-16,Completed,C0511,Returning,55+,Gwangju,Food,Gift Snack Box,HappyBox,4,33000,14000,0,3000,Mobile Pay,1,4,No,
ORD00008,2025-03-16,Completed,C0675,Returning,35-44,Seoul,Beauty,Hydrating Serum,PureLab,3,22000,9000,0.25,3000,Virtual Account,1,5,No,
ORD00009,2025-09-17,Cancelled,C0084,New,25-34,Daegu,Beauty,Lip Tint,Mellow,2,14000,5000,0.15,0,Mobile Pay,,,No,
ORD00010,2025-04-25,Completed,C0519,VIP,25-34,Gangwon,Fashion,Oversized Hoodie,Northline,3,45000,21000,0,3000,Mobile Pay,5,4,No,
ORD00011,2025-12-28,Completed,C0196,Returning,25-34,Daegu,Pet,Pet Bed,ComfyPaws,2,47000,20000,0,3000,Virtual Account,4,4,No,
ORD00012,2025-10-23,Completed,C0218,New,25-34,Daegu,Electronics,Smart Watch,Pulse,3,99000,47000,0.1,3000,Card,5,4,No,
ORD00013,2025-06-18,Completed,C0647,Returning,25-34,Daegu,Home,Desk Lamp,Lumen,1,39000,16000,0.2,3000,Mobile Pay,4,4,No,
ORD00014,2025-07-01,Completed,C0158,VIP,45-54,Daejeon,Pet,Pet Bed,ComfyPaws,3,47000,20000,0,3000,Mobile Pay,1,5,No,
ORD00015,2025-06-15,Completed,C0518,VIP,55+,Busan,Beauty,Lip Tint,Mellow,2,14000,5000,0,3000,Mobile Pay,1,5,No,
ORD00016,2025-12-19,Pending,C0804,VIP,35-44,Jeju,Electronics,Bluetooth Speaker,Soundly,2,65000,31000,0.2,0,Virtual Account,,,No,
ORD00017,2025-09-08,Completed,C0193,Returning,55+,Jeju,Electronics,Smart Watch,Pulse,2,99000,47000,0,0,Bank Transfer,2,4,No,
ORD00018,2025-01-09,Completed,C0579,Returning,55+,Gyeonggi,Home,Desk Lamp,Lumen,4,39000,16000,0.1,3000,Bank Transfer,3,4,No,
ORD00019,2025-09-02,Completed,C0159,New,35-44,Incheon,Home,Storage Box Set,NeatHome,3,29000,12000,0,0,Mobile Pay,5,5,No,
ORD00020,2025-06-17,Completed,C0566,Returning,25-34,Gangwon,Food,Coffee Bean 1kg,BeanRoot,3,32000,15000,0,0,Mobile Pay,3,4,No,
ORD00021,2025-01-16,Completed,C0209,New,55+,Gwangju,Pet,Pet Bed,ComfyPaws,1,47000,20000,0,3000,Bank Transfer,2,4,No,
ORD00022,2025-08-18,Completed,C0281,Returning,25-34,Gwangju,Home,Desk Lamp,Lumen,1,39000,16000,0.2,0,Mobile Pay,4,4,No,
ORD00023,2025-12-25,Completed,C0534,VIP,45-54,Seoul,Pet,Cat Toy Bundle,PawJoy,1,19000,8000,0,3000,Bank Transfer,2,5,No,
ORD00024,2025-11-08,Completed,C0335,New,35-44,Daejeon,Beauty,Lip Tint,Mellow,3,14000,5000,0.15,3000,Card,4,4,No,
ORD00025,2025-10-21,Completed,C0665,Returning,35-44,Gyeonggi,Home,Desk Lamp,Lumen,4,39000,16000,0,0,Bank Transfer,2,5,No,
ORD00026,2025-08-15,Completed,C0590,New,45-54,Daegu,Food,Protein Bar Pack,FitBite,2,28000,12000,0,0,Bank Transfer,2,5,No,
ORD00027,2025-04-18,Completed,C0575,VIP,45-54,Incheon,Fashion,Crossbody Bag,Morrow,4,43000,18000,0.15,3000,Card,3,5,No,
ORD00028,2025-03-14,Completed,C0798,New,55+,Busan,Fashion,Canvas Sneakers,Walkon,2,59000,26000,0.2,3000,Bank Transfer,3,4,No,
ORD00029,2025-01-30,Completed,C0672,New,18-24,Gyeonggi,Pet,Pet Bed,ComfyPaws,4,47000,20000,0,0,Card,1,5,No,
ORD00030,2025-01-04,Completed,C0632,Returning,35-44,Gwangju,Food,Gift Snack Box,HappyBox,4,33000,14000,0.25,3000,Virtual Account,5,5,No,
ORD00031,2025-08-09,Completed,C0114,New,18-24,Busan,Beauty,Lip Tint,Mellow,2,14000,5000,0.1,3000,Virtual Account,5,5,No,
ORD00032,2025-11-03,Completed,C0608,New,18-24,Gyeonggi,Electronics,Wireless Earbuds,Nova,4,49000,24000,0.2,0,Virtual Account,3,5,No,
ORD00033,2025-07-30,Completed,C0538,VIP,18-24,Daegu,Electronics,Wireless Earbuds,Nova,3,49000,24000,0,3000,Bank Transfer,3,4,No,
ORD00034,2025-12-05,Completed,C0850,Returning,18-24,Gyeonggi,Electronics,Bluetooth Speaker,Soundly,4,65000,31000,0,3000,Bank Transfer,3,5,No,
ORD00035,2025-01-14,Completed,C0279,New,25-34,Daejeon,Fashion,Canvas Sneakers,Walkon,2,59000,26000,0,0,Virtual Account,2,4,No,
ORD00036,2025-08-16,Completed,C0217,New,18-24,Busan,Electronics,Bluetooth Speaker,Soundly,2,65000,31000,0,3000,Card,2,5,No,
ORD00037,2025-12-23,Completed,C0755,New,35-44,Gwangju,Pet,Dog Treats 1kg,Barkly,3,25000,11000,0,3000,Bank Transfer,5,4,No,
ORD00038,2025-04-18,Completed,C0115,Returning,55+,Jeju,Food,Coffee Bean 1kg,BeanRoot,1,32000,15000,0.1,3000,Mobile Pay,9,3,No,
ORD00039,2025-05-05,Completed,C0032,Returning,35-44,Daegu,Electronics,Smart Watch,Pulse,1,99000,47000,0.05,3000,Virtual Account,1,5,No,
ORD00040,2025-02-18,Completed,C0143,Returning,45-54,Gangwon,Pet,Pet Bed,ComfyPaws,3,47000,20000,0.25,3000,Virtual Account,4,5,No,
ORD00041,2025-05-02,Completed,C0538,New,55+,Gyeonggi,Beauty,Hydrating Serum,PureLab,2,22000,9000,0,0,Mobile Pay,1,5,No,
ORD00042,2025-11-18,Completed,C0242,VIP,18-24,Daejeon,Electronics,Smart Watch,Pulse,4,99000,47000,0.2,3000,Card,1,5,No,
ORD00043,2025-09-25,Completed,C0675,Returning,55+,Gangwon,Home,Storage Box Set,NeatHome,2,29000,12000,0.1,3000,Bank Transfer,3,4,No,
ORD00044,2025-06-23,Completed,C0581,Returning,45-54,Gangwon,Food,Coffee Bean 1kg,BeanRoot,1,32000,15000,0.1,3000,Card,5,5,No,
ORD00045,2025-07-22,Completed,C0080,VIP,45-54,Daejeon,Electronics,Wireless Earbuds,Nova,2,49000,24000,0.25,3000,Card,1,5,No,
ORD00046,2025-10-08,Completed,C0817,New,18-24,Gyeonggi,Electronics,Smart Watch,Pulse,2,99000,47000,0,3000,Virtual Account,2,4,No,
ORD00047,2025-11-10,Completed,C0491,Returning,45-54,Daejeon,Home,Storage Box Set,NeatHome,4,29000,12000,0.2,0,Mobile Pay,1,3,Yes,Late delivery
ORD00048,2025-09-22,Completed,C0359,New,35-44,Gwangju,Food,Gift Snack Box,HappyBox,2,33000,14000,0,3000,Virtual Account,1,4,No,
ORD00049,2025-07-16,Completed,C0371,New,35-44,Jeju,Food,Gift Snack Box,HappyBox,1,33000,14000,0.2,3000,Card,7,2,Yes,Damaged item
ORD00050,2025-03-23,Completed,C0617,VIP,25-34,Gwangju,Fashion,Oversized Hoodie,Northline,2,45000,21000,0,0,Card,4,5,No,
ORD00051,2025-04-13,Completed,C0656,New,25-34,Daejeon,Home,Cotton Towel Set,SoftDay,1,24000,10000,0.15,3000,Virtual Account,5,4,No,
ORD00052,2025-05-29,Completed,C0420,Returning,35-44,Gwangju,Pet,Cat Toy Bundle,PawJoy,2,19000,8000,0.15,0,Bank Transfer,2,5,No,
ORD00053,2025-05-09,Pending,C0114,Returning,35-44,Gyeonggi,Fashion,Crossbody Bag,Morrow,3,43000,18000,0.25,0,Card,,,No,
