| B-011 | 대상소실 | 강의덱.html:2018-2051 | "산출물 칩" 요소 자체가 없음(1~6 wk-node 구조뿐) |
| B-050 | 대상소실 | 강의덱.html:2601-2628 | 해당 문구·codex 붙여넣기 예시 없음, 슬라이드 전체가 다른 프레임(C1-N3)으로 교체됨 |
| B-052 | 대상소실 | 강의덱.html:2601-2628 | 번호(①~⑥) 목록 구조 자체가 없음 |
| B-089 | 대상소실 | 강의덱.html:2814-2859 | "1~5 박스" 구조 자체가 없음(2×2 열 구조로 전면교체) |
| B-168 | 대상소실 | 강의덱.html:4176-4193 | M3는 현재 3단계 구조(prd.md/역할별파일/첫화면변화)만 존재, "4단계" 대상 자체가 없음 |
| B-206 | 대상소실 | 강의덱.html:4206-4265 | C3-1이 표+에디터 구조로 전면 재설계, 대상 "박스"가 존재하지 않음 |
| B-237 | 대상소실 | 강의덱.html:4415-4425 | C3-3이 rows+우측 이미지 구조로 재설계, "좌우 CSS도형" 자체가 존재하지 않음 |
| B-293 | 대상소실 | 강의덱.html:6005-6006,6670 | hn-sum이 속한 hn-formula 전체가 display:none, 화면 비노출 |
| B-303 | 대상소실 | 강의덱.html:6462 | C4-9 섹션 자체가 덱에 없음. 주석 "91~93p(서브에이전트·완료 증거·멀티에이전트)를 지우면서"로 삭제 확정 확인 |
| B-307 | 대상소실 | 강의덱.html:6795-6799 | C4-3 우측이 메모장/체크리스트 SVG가 아니라 PNG 이미지(asset-slot)로 교체됨. 전역 grep("memo-pad","checklist","메모장") 무결과 |
| B-318 | 대상소실 | — | C4-10 섹션 없음(전역 `<section...data-slide="C4-10">` 검색 무결과) |
| B-341 | 대상소실 | 강의덱.html:6446-6452 | 현재 P5는 "AI 작업 시스템"(하네스+Skill+서브에이전트 통합) 단일 파트디바이더. 옛 Skill 전용 P5는 없음 |
| B-343 | 대상소실 | 강의덱.html:6454-6475 | Skill 전용 M5 로드맵 없음. M4 로드맵 4단계에 Skill 항목 미표기(5교시에 흡수) |
| B-348 | 대상소실 | — | "4단계(합치는 것)" 전역 grep "합치는" 무결과. 삭제된 서브/멀티에이전트 슬라이드 소속으로 추정 |
| B-356 | 대상소실 | 강의덱.html:6462 | C4-9 섹션 없음(B-303과 동일 근거) |
| B-357 | 대상소실 | 강의덱.html:6462 | 상동 |
| B-358 | 대상소실 | 강의덱.html:6462 | 상동 |
| B-359 | 대상소실 | 강의덱.html:6462 | 상동 |
| B-360 | 대상소실 | 강의덱.html:6462 | 상동 |
| B-361 | 대상소실 | 강의덱.html:6462 | 상동 |
| B-362 | 대상소실 | 강의덱.html:6462 | 상동 |
| B-364 | 대상소실 | — | C4-14 섹션 없음(전역 `<section...data-slide="C4-14">` 검색 무결과) |
| B-365 | 대상소실 | — | 상동. "버튼은 하는 일을 말한다" 전역 grep 무결과이나 슬라이드 자체가 삭제됨 |
| B-366 | 대상소실 | — | 상동 |
| B-367 | 대상소실 | — | 상동 |
| B-369 | 대상소실 | 강의덱.html:6395-6410 | C4-10 섹션 없음. 관련 CSS만 죽은 규칙으로 잔존 |
| B-370 | 대상소실 | 상동 | 상동 |
| B-371 | 대상소실 | 강의덱.html:6403 | "15배 막대…2회 실패한 자리" 주석만 잔존, 섹션 자체 없음 |
| B-375 | 대상소실 | — | C4-10 섹션 없음 |
| B-376 | 대상소실 | — | 상동 |
| B-377 | 대상소실 | — | 상동 |
| B-405 | 대상소실 | C5-10 section 부재 | 원 슬라이드 자체가 삭제됨 |
| B-406 | 대상소실 | C5-10 section 부재 | 상동 |
| B-407 | 대상소실 | 강의덱.html:6166(CSS 잔존만, section 부재) | 슬라이드 자체 삭제. 유사 취지 문구는 C4-3:6780,6785에 재구성됨 |
| B-464 | 대상소실 | 강의덱.html:4784 | 실습⑪(C5-17) 자체가 이미 삭제됨 |
| B-513 | 대상소실 | 7494(주석만) | "주제선정8기준"·"기능유형분류" 본문 0건, C1-8 섹션 없음 |
| B-536 | 대상소실 | 1615(주석만) | Memory/CLAUDE.md 본문 0건 |
| B-540 | 대상소실 | 1579(주석만) | 짝점검(C6-10) 섹션 없음 |
| B-541 | 대상소실 | 1579(주석만) | 상동 |
| B-568 | 대상소실 | 1579(주석만) | 짝점검 섹션 없음 |
| B-590 | 대상소실 | 3325-3326 | 연결슬라이드 삭제 |
