file_id,상대경로,크기,SHA-256,확장자,실제형식,원본주차,Git상태,작성수정근거,참조대상,분류,부모file_id,판정근거,미확인사유,관측_슬라이드수,관측_인라인SVG수
F-0001,courses/AI_코딩_에이전트_입문_3차시/3차시_강의자료_제작계획.md,154786,7bc46fdcddc77bdde3e02478d8e8f5728cd160fcea79350e03b4cf744d091523,.md,텍스트(Markdown),신규과정공통,untracked,커밋 없음,(참조 없음),관리 자료,-,과정 운영·계획·안내 문서,-,-,-
F-0002,courses/AI_코딩_에이전트_입문_3차시/README.md,2521,0e3a06482d14f1b127659bcf2d80772352b24e0a3d0faf0ed258e3028db77f87,.md,텍스트(Markdown),신규과정공통,untracked,커밋 없음,(참조 없음),관리 자료,-,과정 운영·계획·안내 문서,-,-,-
F-0003,courses/AI_코딩_에이전트_입문_3차시/profile.md,2526,5dc1d014b28298f32d104ad9ad92b47f0ae6b5056d0a08d33aa15f28a8ce4ccb,.md,텍스트(Markdown),신규과정공통,untracked,커밋 없음,(참조 없음),관리 자료,-,과목 프로필(운영 파라미터 정본),-,-,-
F-0004,courses/AI_코딩_에이전트_입문_3차시/sessions/1주차/1주차_초안.md,7823,6dfb6607a53e0f3b06f434165a9ca0387332aeb4c48750888b4ab2c37f690678,.md,텍스트(Markdown),1주차,untracked,커밋 없음,(참조 없음),템플릿,-,신규 과정 주차 골격(_template에 대응 없음·내용 미집필),-,-,-
F-0005,courses/AI_코딩_에이전트_입문_3차시/sessions/1주차/README.md,3042,d4773b55a50695a98c9c9efd0d4326ac70f888a448ecb4d0f20dcf543f671452,.md,텍스트(Markdown),1주차,untracked,커밋 없음,../README.md(있음),템플릿,F-0345,_template 골격과 SHA-256 동일(미집필 복사본),-,-,-
F-0006,courses/AI_코딩_에이전트_입문_3차시/sessions/1주차/deck.contract.json,1471,ded854e50e1c4a27497883f3145da737f6547dcf62e38e15ebabe5d3d2edc585,.json,JSON,1주차,untracked,커밋 없음,(참조 없음),템플릿,F-0346,_template 골격과 SHA-256 동일(미집필 복사본),-,-,-
F-0007,courses/AI_코딩_에이전트_입문_3차시/sessions/1주차/강의덱.초안/README.md,2708,a81c9fc402c7d29773a5cea88bc3b76fae4ed20f92a50e8de8fdf466474305f9,.md,텍스트(Markdown),1주차,untracked,커밋 없음,(참조 없음),템플릿,F-0347,_template 골격과 SHA-256 동일(미집필 복사본),-,-,-
F-0008,courses/AI_코딩_에이전트_입문_3차시/sessions/1주차/강의덱.초안/part-01.html,6197,99afcbdc08d3b979f99bad334993c753d8724feef8550616d099afc280aa87fe,.html,HTML(조각),1주차,untracked,커밋 없음,자료/images/roadmap-01.png(없음),템플릿,F-0348,_template 골격과 SHA-256 동일(미집필 복사본),-,2,2
F-0009,courses/AI_코딩_에이전트_입문_3차시/sessions/1주차/강의덱.초안/shell.html,38378,08c532e1c7513403a8cea1c80e83632346453f2360355d54322e47e0e1b318ea,.html,HTML(문서),1주차,untracked,커밋 없음,../../../../kit/styles/deck.css(있음);../../../../kit/styles/legibility.css(있음);../../../../kit/styles/patterns.css(있음);자료/images/asset-001.png(없음);자료/images/asset-002.png(없음),템플릿,F-0349,_template 골격과 SHA-256 동일(미집필 복사본),-,4,6
F-0010,courses/AI_코딩_에이전트_입문_3차시/sessions/1주차/실습예제/README.md,272,3e1c8c6a3c302550f189d59b3afb2026fdd2460f9cecfec465b108d44ea3cad8,.md,텍스트(Markdown),1주차,untracked,커밋 없음,(참조 없음),템플릿,-,신규 과정 주차 골격(_template에 대응 없음·내용 미집필),-,-,-
F-0011,courses/AI_코딩_에이전트_입문_3차시/sessions/1주차/자료/개념KB.md,8438,b7a18a8dd38f11d80c3b3f2854c72a712b3db17c26079194513786fbbd20cb80,.md,텍스트(Markdown),1주차,untracked,커밋 없음,(참조 없음),템플릿,F-0350,_template 골격과 SHA-256 동일(미집필 복사본),-,-,-
F-0012,courses/AI_코딩_에이전트_입문_3차시/sessions/1주차/자료/리서치_리뷰.html,29212,d7171f17d1afa46816afdd0fa4a33ce5103c9885a08f425c0272f2aed4b55b22,.html,HTML(조각),1주차,untracked,커밋 없음,(참조 없음),템플릿,F-0351,_template 골격과 SHA-256 동일(미집필 복사본),-,0(section 있으나 data-slide 0건),0
F-0013,courses/AI_코딩_에이전트_입문_3차시/sessions/1주차/자료/이미지-에셋.json,171,15bd7595b34b564f6e5cb1c6ddb46991ad9d3d09b8871694aeeada18b841e2f7,.json,JSON,1주차,untracked,커밋 없음,(참조 없음),템플릿,F-0352,_template 골격과 SHA-256 동일(미집필 복사본),-,-,-
F-0014,courses/AI_코딩_에이전트_입문_3차시/sessions/1주차/자료/이미지-프롬프트.md,961,8f198035aa4b4bcf66bf465fc7f3e9ce1d7eba9e3b96993eaa376889bef7b0e9,.md,텍스트(Markdown),1주차,untracked,커밋 없음,(참조 없음),템플릿,F-0353,_template 골격과 SHA-256 동일(미집필 복사본),-,-,-
F-0015,courses/AI_코딩_에이전트_입문_3차시/sessions/1주차/콘텐츠_리뷰.html,22119,e07d036ffad3b37abb97223118eaf8435632988e533691f2edb783b91f61399f,.html,HTML(조각),1주차,untracked,커밋 없음,(참조 없음),템플릿,F-0354,_template 골격과 SHA-256 동일(미집필 복사본),-,0(section 있으나 data-slide 0건),0
F-0016,courses/AI_코딩_에이전트_입문_3차시/sessions/2주차/2주차_초안.md,7838,c2c92eb7abf551d69c897eb8f7f319609d96e80bb12a65778782def1cbc70556,.md,텍스트(Markdown),2주차,untracked,커밋 없음,(참조 없음),템플릿,-,신규 과정 주차 골격(_template에 대응 없음·내용 미집필),-,-,-
F-0017,courses/AI_코딩_에이전트_입문_3차시/sessions/2주차/README.md,3042,d4773b55a50695a98c9c9efd0d4326ac70f888a448ecb4d0f20dcf543f671452,.md,텍스트(Markdown),2주차,untracked,커밋 없음,../README.md(있음),템플릿,F-0345,_template 골격과 SHA-256 동일(미집필 복사본),-,-,-
F-0018,courses/AI_코딩_에이전트_입문_3차시/sessions/2주차/deck.contract.json,1471,ded854e50e1c4a27497883f3145da737f6547dcf62e38e15ebabe5d3d2edc585,.json,JSON,2주차,untracked,커밋 없음,(참조 없음),템플릿,F-0346,_template 골격과 SHA-256 동일(미집필 복사본),-,-,-
F-0019,courses/AI_코딩_에이전트_입문_3차시/sessions/2주차/강의덱.초안/README.md,2708,a81c9fc402c7d29773a5cea88bc3b76fae4ed20f92a50e8de8fdf466474305f9,.md,텍스트(Markdown),2주차,untracked,커밋 없음,(참조 없음),템플릿,F-0347,_template 골격과 SHA-256 동일(미집필 복사본),-,-,-
F-0020,courses/AI_코딩_에이전트_입문_3차시/sessions/2주차/강의덱.초안/part-01.html,6197,99afcbdc08d3b979f99bad334993c753d8724feef8550616d099afc280aa87fe,.html,HTML(조각),2주차,untracked,커밋 없음,자료/images/roadmap-01.png(없음),템플릿,F-0348,_template 골격과 SHA-256 동일(미집필 복사본),-,2,2
F-0021,courses/AI_코딩_에이전트_입문_3차시/sessions/2주차/강의덱.초안/shell.html,38378,08c532e1c7513403a8cea1c80e83632346453f2360355d54322e47e0e1b318ea,.html,HTML(문서),2주차,untracked,커밋 없음,../../../../kit/styles/deck.css(있음);../../../../kit/styles/legibility.css(있음);../../../../kit/styles/patterns.css(있음);자료/images/asset-001.png(없음);자료/images/asset-002.png(없음),템플릿,F-0349,_template 골격과 SHA-256 동일(미집필 복사본),-,4,6
F-0022,courses/AI_코딩_에이전트_입문_3차시/sessions/2주차/실습예제/README.md,277,ccacbfa804476f7165694b0c86bfb5e5c2c9418b8057a2ba628720bf64a0e0d1,.md,텍스트(Markdown),2주차,untracked,커밋 없음,(참조 없음),템플릿,-,신규 과정 주차 골격(_template에 대응 없음·내용 미집필),-,-,-
F-0023,courses/AI_코딩_에이전트_입문_3차시/sessions/2주차/자료/개념KB.md,8438,b7a18a8dd38f11d80c3b3f2854c72a712b3db17c26079194513786fbbd20cb80,.md,텍스트(Markdown),2주차,untracked,커밋 없음,(참조 없음),템플릿,F-0350,_template 골격과 SHA-256 동일(미집필 복사본),-,-,-
F-0024,courses/AI_코딩_에이전트_입문_3차시/sessions/2주차/자료/리서치_리뷰.html,29212,d7171f17d1afa46816afdd0fa4a33ce5103c9885a08f425c0272f2aed4b55b22,.html,HTML(조각),2주차,untracked,커밋 없음,(참조 없음),템플릿,F-0351,_template 골격과 SHA-256 동일(미집필 복사본),-,0(section 있으나 data-slide 0건),0
F-0025,courses/AI_코딩_에이전트_입문_3차시/sessions/2주차/자료/이미지-에셋.json,171,15bd7595b34b564f6e5cb1c6ddb46991ad9d3d09b8871694aeeada18b841e2f7,.json,JSON,2주차,untracked,커밋 없음,(참조 없음),템플릿,F-0352,_template 골격과 SHA-256 동일(미집필 복사본),-,-,-
F-0026,courses/AI_코딩_에이전트_입문_3차시/sessions/2주차/자료/이미지-프롬프트.md,961,8f198035aa4b4bcf66bf465fc7f3e9ce1d7eba9e3b96993eaa376889bef7b0e9,.md,텍스트(Markdown),2주차,untracked,커밋 없음,(참조 없음),템플릿,F-0353,_template 골격과 SHA-256 동일(미집필 복사본),-,-,-
F-0027,courses/AI_코딩_에이전트_입문_3차시/sessions/2주차/콘텐츠_리뷰.html,22119,e07d036ffad3b37abb97223118eaf8435632988e533691f2edb783b91f61399f,.html,HTML(조각),2주차,untracked,커밋 없음,(참조 없음),템플릿,F-0354,_template 골격과 SHA-256 동일(미집필 복사본),-,0(section 있으나 data-slide 0건),0
F-0028,courses/AI_코딩_에이전트_입문_3차시/sessions/3주차/3주차_초안.md,7836,71ae4745669728ad8de7a6012679f3d5ad31a36e8c41896f9386cb5eed3ea892,.md,텍스트(Markdown),3주차,untracked,커밋 없음,(참조 없음),템플릿,-,신규 과정 주차 골격(_template에 대응 없음·내용 미집필),-,-,-
F-0029,courses/AI_코딩_에이전트_입문_3차시/sessions/3주차/README.md,3042,d4773b55a50695a98c9c9efd0d4326ac70f888a448ecb4d0f20dcf543f671452,.md,텍스트(Markdown),3주차,untracked,커밋 없음,../README.md(있음),템플릿,F-0345,_template 골격과 SHA-256 동일(미집필 복사본),-,-,-
F-0030,courses/AI_코딩_에이전트_입문_3차시/sessions/3주차/deck.contract.json,1471,ded854e50e1c4a27497883f3145da737f6547dcf62e38e15ebabe5d3d2edc585,.json,JSON,3주차,untracked,커밋 없음,(참조 없음),템플릿,F-0346,_template 골격과 SHA-256 동일(미집필 복사본),-,-,-
F-0031,courses/AI_코딩_에이전트_입문_3차시/sessions/3주차/강의덱.초안/README.md,2708,a81c9fc402c7d29773a5cea88bc3b76fae4ed20f92a50e8de8fdf466474305f9,.md,텍스트(Markdown),3주차,untracked,커밋 없음,(참조 없음),템플릿,F-0347,_template 골격과 SHA-256 동일(미집필 복사본),-,-,-
F-0032,courses/AI_코딩_에이전트_입문_3차시/sessions/3주차/강의덱.초안/part-01.html,6197,99afcbdc08d3b979f99bad334993c753d8724feef8550616d099afc280aa87fe,.html,HTML(조각),3주차,untracked,커밋 없음,자료/images/roadmap-01.png(없음),템플릿,F-0348,_template 골격과 SHA-256 동일(미집필 복사본),-,2,2
F-0033,courses/AI_코딩_에이전트_입문_3차시/sessions/3주차/강의덱.초안/shell.html,38378,08c532e1c7513403a8cea1c80e83632346453f2360355d54322e47e0e1b318ea,.html,HTML(문서),3주차,untracked,커밋 없음,../../../../kit/styles/deck.css(있음);../../../../kit/styles/legibility.css(있음);../../../../kit/styles/patterns.css(있음);자료/images/asset-001.png(없음);자료/images/asset-002.png(없음),템플릿,F-0349,_template 골격과 SHA-256 동일(미집필 복사본),-,4,6
F-0034,courses/AI_코딩_에이전트_입문_3차시/sessions/3주차/실습예제/README.md,350,97b2c842377c8dfcf1393ae817169911b8105852842d6ddbba4272c2b7ded3c9,.md,텍스트(Markdown),3주차,untracked,커밋 없음,(참조 없음),템플릿,-,신규 과정 주차 골격(_template에 대응 없음·내용 미집필),-,-,-
F-0035,courses/AI_코딩_에이전트_입문_3차시/sessions/3주차/자료/개념KB.md,8438,b7a18a8dd38f11d80c3b3f2854c72a712b3db17c26079194513786fbbd20cb80,.md,텍스트(Markdown),3주차,untracked,커밋 없음,(참조 없음),템플릿,F-0350,_template 골격과 SHA-256 동일(미집필 복사본),-,-,-
F-0036,courses/AI_코딩_에이전트_입문_3차시/sessions/3주차/자료/리서치_리뷰.html,29212,d7171f17d1afa46816afdd0fa4a33ce5103c9885a08f425c0272f2aed4b55b22,.html,HTML(조각),3주차,untracked,커밋 없음,(참조 없음),템플릿,F-0351,_template 골격과 SHA-256 동일(미집필 복사본),-,0(section 있으나 data-slide 0건),0
F-0037,courses/AI_코딩_에이전트_입문_3차시/sessions/3주차/자료/이미지-에셋.json,171,15bd7595b34b564f6e5cb1c6ddb46991ad9d3d09b8871694aeeada18b841e2f7,.json,JSON,3주차,untracked,커밋 없음,(참조 없음),템플릿,F-0352,_template 골격과 SHA-256 동일(미집필 복사본),-,-,-
F-0038,courses/AI_코딩_에이전트_입문_3차시/sessions/3주차/자료/이미지-프롬프트.md,961,8f198035aa4b4bcf66bf465fc7f3e9ce1d7eba9e3b96993eaa376889bef7b0e9,.md,텍스트(Markdown),3주차,untracked,커밋 없음,(참조 없음),템플릿,F-0353,_template 골격과 SHA-256 동일(미집필 복사본),-,-,-
F-0039,courses/AI_코딩_에이전트_입문_3차시/sessions/3주차/콘텐츠_리뷰.html,22119,e07d036ffad3b37abb97223118eaf8435632988e533691f2edb783b91f61399f,.html,HTML(조각),3주차,untracked,커밋 없음,(참조 없음),템플릿,F-0354,_template 골격과 SHA-256 동일(미집필 복사본),-,0(section 있으나 data-slide 0건),0
