order_id,order_date,order_status,customer_id,customer_type,age_group,region,category,product_name,brand,quantity,unit_price_krw,cost_per_unit_krw,discount_rate,shipping_fee_krw,payment_method,delivery_days,rating,returned,return_reason,order_month,net_revenue_krw,cost_total_krw,margin_krw,delivery_metric_included,source_line
ORD00001,2025-05-12,Completed,C0447,Returning,55+,Incheon,Electronics,Smart Watch,Pulse,3,99000,47000,0,0,Mobile Pay,4,5,No,,2025-05,297000,141000,156000,Yes,2
ORD00002,2025-12-13,Completed,C0125,Returning,55+,Incheon,Food,Protein Bar Pack,FitBite,2,28000,12000,0.05,3000,Card,5,5,No,,2025-12,53200,24000,29200,Yes,3
ORD00003,2025-08-27,Completed,C0832,VIP,35-44,Daejeon,Home,Cotton Towel Set,SoftDay,3,24000,10000,0.15,3000,Mobile Pay,1,5,No,,2025-08,61200,30000,31200,Yes,4
ORD00004,2025-09-29,Completed,C0599,New,45-54,Jeju,Fashion,Canvas Sneakers,Walkon,4,59000,26000,0.25,3000,Virtual Account,4,5,No,,2025-09,177000,104000,73000,Yes,5
ORD00005,2025-01-22,Completed,C0121,New,18-24,Gangwon,Food,Coffee Bean 1kg,BeanRoot,3,32000,15000,0,0,Card,2,5,No,,2025-01,96000,45000,51000,Yes,6
ORD00006,2025-03-01,Completed,C0028,VIP,18-24,Daejeon,Food,Protein Bar Pack,FitBite,3,28000,12000,0.2,3000,Bank Transfer,4,5,No,,2025-03,67200,36000,31200,Yes,7
ORD00007,2025-03-16,Completed,C0511,Returning,55+,Gwangju,Food,Gift Snack Box,HappyBox,4,33000,14000,0,3000,Mobile Pay,1,4,No,,2025-03,132000,56000,76000,Yes,8
ORD00008,2025-03-16,Completed,C0675,Returning,35-44,Seoul,Beauty,Hydrating Serum,PureLab,3,22000,9000,0.25,3000,Virtual Account,1,5,No,,2025-03,49500,27000,22500,Yes,9
ORD00010,2025-04-25,Completed,C0519,VIP,25-34,Gangwon,Fashion,Oversized Hoodie,Northline,3,45000,21000,0,3000,Mobile Pay,5,4,No,,2025-04,135000,63000,72000,Yes,11
ORD00011,2025-12-28,Completed,C0196,Returning,25-34,Daegu,Pet,Pet Bed,ComfyPaws,2,47000,20000,0,3000,Virtual Account,4,4,No,,2025-12,94000,40000,54000,Yes,12
ORD00012,2025-10-23,Completed,C0218,New,25-34,Daegu,Electronics,Smart Watch,Pulse,3,99000,47000,0.1,3000,Card,5,4,No,,2025-10,267300,141000,126300,Yes,13
ORD00013,2025-06-18,Completed,C0647,Returning,25-34,Daegu,Home,Desk Lamp,Lumen,1,39000,16000,0.2,3000,Mobile Pay,4,4,No,,2025-06,31200,16000,15200,Yes,14
ORD00014,2025-07-01,Completed,C0158,VIP,45-54,Daejeon,Pet,Pet Bed,ComfyPaws,3,47000,20000,0,3000,Mobile Pay,1,5,No,,2025-07,141000,60000,81000,Yes,15
ORD00015,2025-06-15,Completed,C0518,VIP,55+,Busan,Beauty,Lip Tint,Mellow,2,14000,5000,0,3000,Mobile Pay,1,5,No,,2025-06,28000,10000,18000,Yes,16
ORD00017,2025-09-08,Completed,C0193,Returning,55+,Jeju,Electronics,Smart Watch,Pulse,2,99000,47000,0,0,Bank Transfer,2,4,No,,2025-09,198000,94000,104000,Yes,18
ORD00018,2025-01-09,Completed,C0579,Returning,55+,Gyeonggi,Home,Desk Lamp,Lumen,4,39000,16000,0.1,3000,Bank Transfer,3,4,No,,2025-01,140400,64000,76400,Yes,19
ORD00019,2025-09-02,Completed,C0159,New,35-44,Incheon,Home,Storage Box Set,NeatHome,3,29000,12000,0,0,Mobile Pay,5,5,No,,2025-09,87000,36000,51000,Yes,20
ORD00020,2025-06-17,Completed,C0566,Returning,25-34,Gangwon,Food,Coffee Bean 1kg,BeanRoot,3,32000,15000,0,0,Mobile Pay,3,4,No,,2025-06,96000,45000,51000,Yes,21
ORD00021,2025-01-16,Completed,C0209,New,55+,Gwangju,Pet,Pet Bed,ComfyPaws,1,47000,20000,0,3000,Bank Transfer,2,4,No,,2025-01,47000,20000,27000,Yes,22
ORD00022,2025-08-18,Completed,C0281,Returning,25-34,Gwangju,Home,Desk Lamp,Lumen,1,39000,16000,0.2,0,Mobile Pay,4,4,No,,2025-08,31200,16000,15200,Yes,23
ORD00023,2025-12-25,Completed,C0534,VIP,45-54,Seoul,Pet,Cat Toy Bundle,PawJoy,1,19000,8000,0,3000,Bank Transfer,2,5,No,,2025-12,19000,8000,11000,Yes,24
ORD00024,2025-11-08,Completed,C0335,New,35-44,Daejeon,Beauty,Lip Tint,Mellow,3,14000,5000,0.15,3000,Card,4,4,No,,2025-11,35700,15000,20700,Yes,25
ORD00025,2025-10-21,Completed,C0665,Returning,35-44,Gyeonggi,Home,Desk Lamp,Lumen,4,39000,16000,0,0,Bank Transfer,2,5,No,,2025-10,156000,64000,92000,Yes,26
ORD00026,2025-08-15,Completed,C0590,New,45-54,Daegu,Food,Protein Bar Pack,FitBite,2,28000,12000,0,0,Bank Transfer,2,5,No,,2025-08,56000,24000,32000,Yes,27
ORD00027,2025-04-18,Completed,C0575,VIP,45-54,Incheon,Fashion,Crossbody Bag,Morrow,4,43000,18000,0.15,3000,Card,3,5,No,,2025-04,146200,72000,74200,Yes,28
ORD00028,2025-03-14,Completed,C0798,New,55+,Busan,Fashion,Canvas Sneakers,Walkon,2,59000,26000,0.2,3000,Bank Transfer,3,4,No,,2025-03,94400,52000,42400,Yes,29
ORD00029,2025-01-30,Completed,C0672,New,18-24,Gyeonggi,Pet,Pet Bed,ComfyPaws,4,47000,20000,0,0,Card,1,5,No,,2025-01,188000,80000,108000,Yes,30
ORD00030,2025-01-04,Completed,C0632,Returning,35-44,Gwangju,Food,Gift Snack Box,HappyBox,4,33000,14000,0.25,3000,Virtual Account,5,5,No,,2025-01,99000,56000,43000,Yes,31
ORD00031,2025-08-09,Completed,C0114,New,18-24,Busan,Beauty,Lip Tint,Mellow,2,14000,5000,0.1,3000,Virtual Account,5,5,No,,2025-08,25200,10000,15200,Yes,32
ORD00032,2025-11-03,Completed,C0608,New,18-24,Gyeonggi,Electronics,Wireless Earbuds,Nova,4,49000,24000,0.2,0,Virtual Account,3,5,No,,2025-11,156800,96000,60800,Yes,33
ORD00033,2025-07-30,Completed,C0538,VIP,18-24,Daegu,Electronics,Wireless Earbuds,Nova,3,49000,24000,0,3000,Bank Transfer,3,4,No,,2025-07,147000,72000,75000,Yes,34
ORD00034,2025-12-05,Completed,C0850,Returning,18-24,Gyeonggi,Electronics,Bluetooth Speaker,Soundly,4,65000,31000,0,3000,Bank Transfer,3,5,No,,2025-12,260000,124000,136000,Yes,35
