| B-014 | 미반영 | 강의덱.html:2015 | 현재 제목 "오늘 하루로 첫 MVP까지 갑니다" — 요청된 "여섯 교시가 첫 MVP로 이어집니다" 아님 |
| B-036 | 미반영 | grep 전체 무매치 | "GPT한테 물어보세요" 류 문구 전체 파일에 없음 |
| B-037 | 미반영 | 강의덱.html:2690-2701, 2270 | C1-5에 완성/막히면 배지 모두 없음(pr-done·pr-hint div 미사용, CSS만 잔존) |
| B-041 | 부분반영 | 강의덱.html:2601-2628 | C1-N3는 "바로시키기 vs 프롬프트부터받기" 대비이며 "프롬프트엔지니어링 vs 컨텍스트엔지니어링" 명칭 대비는 아님 |
| B-051 | 미반영 | 강의덱.html:2601-2628 | "우리가 건 조건, 나머지는 자율" 문구 없음 |
| B-053 | 미반영 | 강의덱.html:2601-2628 | ①②③④⑥ 항목 전부 없음(2단 비교구조로 전면교체) |
| B-058 | 부분반영 | 강의덱.html:2607 | 전면개편은 사실이나 제목 방향이 "우리 수업이 건 조건"이 아니라 다른 주제로 전환됨 |
| B-062 | 미반영 | 강의덱.html:2640-2645 | a1f1-ans에 별도 키워드 강조(하이라이트 클래스) 없음 |
| B-071 | 부분반영 | 강의덱.html:2737-2767 | A1F3을 실제 앱 UI 목업으로 구체화했으나 "실제 프롬프트 예시" 형태는 아님(다른 방법으로 구체화) |
| B-073 | 미반영 | 강의덱.html:2737-2767 | A1F3은 "오늘의 활동 기록" 앱 UI 목업이며 Codex 폴더생성 실제 캡처가 아님 |
| B-084 | 부분반영 | 강의덱.html:2825-2831 | LLM(메모리) vs 에이전트(작업폴더) 차이는 서술되나 GPT/Codex 실명은 미사용 |
| B-086 | 미반영 | 강의덱.html:2839-2850 | 기존 asset-slot 이미지 슬롯이 아닌 신규 인라인 SVG(viz-c112-contrast) 사용 |
| B-087 | 미반영 | 강의덱.html:2838-2852 | 이미지가 우측이 아니라 중앙 열(ps-mid)에 위치 |
| B-090 | 미반영 | 강의덱.html:2820 | 현재 제목 "대화 세션이 끝나면 결정도 사라집니다" — "삶 속의 불편을 해결한다" 방향 아님 |
| B-096 | 미반영 | 강의덱.html:2810-2811 | C1-11P(터미널 프롬프트)는 "2026-08-02 사용자 결정으로 삭제"됨(한때 삽입됐으나 현재 없음) |
| B-110 | 부분반영 | 강의덱.html:3216-3323 | C2-1·C2-2·C2-N1 세 슬라이드가 MVP 정의 강화하나 "신설 2장과 연계" 구체 근거 확인 불가 |
| B-122 | 부분반영 | 강의덱.html:3410-3412 | 이미지 배치 확인, 박스 높이·밀도 정리 여부는 확인 불가 |
| B-126 | 부분반영 | 강의덱.html:3424-3433 | work-step에 desc 설명 있으나 "자세함" 정도는 주관적 |
| B-132 | 부분반영 | 강의덱.html:3334-3356 | 제목은 "먼저 보여줄 결과 하나"로 그대로, 본문·화면목업엔 구체 결과물(오늘 기록 한 줄) 반영 |
| B-156 | 부분반영 | 강의덱.html:3426,3431 | 1단계 "나열시키기"는 명사형, 2단계는 "…추후 계획으로"로 어색하게 종결 |
| B-158 | 미반영 | 강의덱.html:3671-3708 | C2-11엔 asset-slot 사진 이미지 없음(장식용 인라인 SVG만 존재), s33 계열 이미지 파일 grep 무결과 |
| B-159 | 부분반영 | 강의덱.html:3475-3519 | c27-screens 화면목업으로 재설계된 것은 확인되나 "§0-4 기준 재판정" 근거는 직접 확인 불가 |
| B-190 | 부분반영 | 강의덱.html:4401,4415 | has-img-r + dc-stage(right:372px)로 좌측이동·우측이미지 확인, 정확한 6:4/7:3 비율 명기는 확인 불가 |
| B-193 | 부분반영 | 강의덱.html:6812-6815, 7274(주석) | PART3 밖으로 이동은 맞으나 실제 배치는 "4교시"가 아닌 "5교시"(주석: "3교시→5교시 이동") |
| B-199 | 부분반영 | 강의덱.html:6812-6896 | AGENTS.md→하네스(C4-11) 빌드업 배치는 확인되나 "4교시"가 아닌 5교시 |
| B-202 | 부분반영 | 강의덱.html:4174 | M3 리드가 "마크다운·prd.md·역할별 파일 나누기" 3항만 명시, AGENTS.md는 미열거(같은 3교시 C1-13에서만 다룸) |
| B-220 | 부분반영 | 강의덱.html:4006-4007(표17px 충족),3996(본문20px),4823-4828(C5-20 라벨18-19px) | 표는 17px 충족, 본문·라벨류 일부가 22px 하한 미달 |
| B-221 | 미반영 | 강의덱.html:6807-6812 | 67p+68p 통합본(C3-N4·C4-N2)이 41p 아닌 5교시 C4-3 뒤로 이동(주석에 이동 경위 명시) |
| B-223 | 부분반영 | 강의덱.html:4363-4365(키워드+설명),4377-4396(문단형) | C3-N1은 키워드형, C3-N2는 문단형 혼재 |
